name	region	le1960	le2019	GDP_PC1960	GDP_PC2019	population1960	population2019
Finland	Europe	68.81976	81.78537	12184.92425	49385.6764	4429634	5521606
Fiji	Oceania	60.811	67.444	1773.77739	4738.62929	393481	889953
France	Europe	69.86829	82.57805	12743.9251	44320.05773	46621669	67055854
Faroe Islands	Europe	NA	82.74634	NA	NA	34615	48678
Micronesia (Federated States of)	Oceania	54.513	67.883	NA	NA	44514	113815
Gabon	Africa	39.694	66.467	4366.39152	9177.5166	500928	2172579
United Kingdom of Great Britain and Northern Ireland	Europe	71.12683	81.20488	13934.02983	43710.45145	52400000	66836327
Georgia	Asia	63.651	73.767	NA	4978.79525	3645600	3720161
Ghana	Africa	45.843	64.074	1056.72634	1884.28486	6635230	30417856
Gibraltar	Europe	NA	NA	NA	NA	23420	33701
Guinea	Africa	34.89	61.602	NA	920.87824	3494162	12771246
Gambia	Africa	32.054	62.05	NA	815.21555	365047	2347706
Guinea-Bissau	Africa	37.478	58.322	NA	635.52571	616136	1920922
Equatorial Guinea	Africa	36.535	58.735	NA	9237.71619	255333	1355986
Greece	Europe	68.1639	81.93902	6259.79313	24022.33532	8331725	10717169
Grenada	Americas	62.231	72.397	NA	9220.38614	89932	112003
Greenland	Americas	NA	NA	NA	NA	32500	56225
Guatemala	Americas	46.702	74.302	1490.72752	3413.23401	4128880	16604026
Guam	Oceania	60.97	80.074	NA	NA	66742	167294
Guyana	Americas	60.26	69.906	2565.05803	6107.34742	571819	782766
Hong Kong	Asia	66.96168	85.07805	NA	37928.35333	3075605	7507400
Honduras	Americas	46.274	75.27	1095.99309	2241.23867	2038632	9746117
Croatia	Europe	64.60866	78.42439	NA	16519.0375	4140181	4065253
Haiti	Americas	41.762	64.001	1512.00347	1245.0125	3866159	11263077
Hungary	Europe	68.00317	76.02195	NA	17570.16697	9983967	9771141
Indonesia	Asia	46.664	71.716	690.36877	4450.7245	87751068	270625568
India	Asia	41.422	69.656	330.20532	2151.72604	450547679	1366417754
Ireland	Europe	69.79651	82.30244	NA	79823.01422	2828600	4934040
Iran (Islamic Republic of)	Asia	44.947	76.677	2978.97199	5922.52759	21906914	82913906
Iraq	Asia	48.022	70.604	NA	5589.02158	7289760	39309783
Iceland	Europe	73.42317	82.56098	11701.98959	51438.91622	175574	360563
Israel	Asia	NA	82.80488	8789.01931	35276.19347	2114020	9054000
