code2	country	date	type	count	lockdown	population
DK	Denmark	2020-05-21	Confirmed	11182	2020-03-11	5837213
DK	Denmark	2020-05-21	Deaths	561	2020-03-11	5837213
DK	Denmark	2020-05-22	Confirmed	11230	2020-03-11	5837213
DK	Denmark	2020-05-22	Deaths	561	2020-03-11	5837213
DK	Denmark	2020-05-23	Confirmed	11289	2020-03-11	5837213
DK	Denmark	2020-05-23	Deaths	561	2020-03-11	5837213
DK	Denmark	2020-05-24	Confirmed	11360	2020-03-11	5837213
DK	Denmark	2020-05-24	Deaths	562	2020-03-11	5837213
DK	Denmark	2020-05-25	Confirmed	11387	2020-03-11	5837213
DK	Denmark	2020-05-25	Deaths	563	2020-03-11	5837213
DK	Denmark	2020-05-26	Confirmed	11428	2020-03-11	5837213
DK	Denmark	2020-05-26	Deaths	563	2020-03-11	5837213
DK	Denmark	2020-05-27	Confirmed	11480	2020-03-11	5837213
DK	Denmark	2020-05-27	Deaths	565	2020-03-11	5837213
DK	Denmark	2020-05-28	Confirmed	11512	2020-03-11	5837213
DK	Denmark	2020-05-28	Deaths	568	2020-03-11	5837213
DK	Denmark	2020-05-29	Confirmed	11593	2020-03-11	5837213
DK	Denmark	2020-05-29	Deaths	568	2020-03-11	5837213
DK	Denmark	2020-05-30	Confirmed	11633	2020-03-11	5837213
DK	Denmark	2020-05-30	Deaths	571	2020-03-11	5837213
DK	Denmark	2020-05-31	Confirmed	11669	2020-03-11	5837213
DK	Denmark	2020-05-31	Deaths	574	2020-03-11	5837213
DK	Denmark	2020-06-01	Confirmed	11699	2020-03-11	5837213
DK	Denmark	2020-06-01	Deaths	576	2020-03-11	5837213
DK	Denmark	2020-06-02	Confirmed	11734	2020-03-11	5837213
DK	Denmark	2020-06-02	Deaths	580	2020-03-11	5837213
DK	Denmark	2020-06-03	Confirmed	11771	2020-03-11	5837213
DK	Denmark	2020-06-03	Deaths	580	2020-03-11	5837213
DK	Denmark	2020-06-04	Confirmed	11811	2020-03-11	5837213
DK	Denmark	2020-06-04	Deaths	582	2020-03-11	5837213
DK	Denmark	2020-06-05	Confirmed	11875	2020-03-11	5837213
DK	Denmark	2020-06-05	Deaths	586	2020-03-11	5837213
DK	Denmark	2020-06-06	Confirmed	11924	2020-03-11	5837213
DK	Denmark	2020-06-06	Deaths	587	2020-03-11	5837213
DK	Denmark	2020-06-07	Confirmed	11948	2020-03-11	5837213
DK	Denmark	2020-06-07	Deaths	589	2020-03-11	5837213
DK	Denmark	2020-06-08	Confirmed	11962	2020-03-11	5837213
DK	Denmark	2020-06-08	Deaths	593	2020-03-11	5837213
DK	Denmark	2020-06-09	Confirmed	12001	2020-03-11	5837213
DK	Denmark	2020-06-09	Deaths	593	2020-03-11	5837213
DK	Denmark	2020-06-10	Confirmed	12016	2020-03-11	5837213
DK	Denmark	2020-06-10	Deaths	593	2020-03-11	5837213
DK	Denmark	2020-06-11	Confirmed	12035	2020-03-11	5837213
DK	Denmark	2020-06-11	Deaths	593	2020-03-11	5837213
DK	Denmark	2020-06-12	Confirmed	12099	2020-03-11	5837213
DK	Denmark	2020-06-12	Deaths	594	2020-03-11	5837213
DK	Denmark	2020-06-13	Confirmed	12139	2020-03-11	5837213
DK	Denmark	2020-06-13	Deaths	597	2020-03-11	5837213
DK	Denmark	2020-06-14	Confirmed	12193	2020-03-11	5837213
DK	Denmark	2020-06-14	Deaths	597	2020-03-11	5837213
DK	Denmark	2020-06-15	Confirmed	12217	2020-03-11	5837213
DK	Denmark	2020-06-15	Deaths	598	2020-03-11	5837213
DK	Denmark	2020-06-16	Confirmed	12250	2020-03-11	5837213
DK	Denmark	2020-06-16	Deaths	598	2020-03-11	5837213
DK	Denmark	2020-06-17	Confirmed	12294	2020-03-11	5837213
DK	Denmark	2020-06-17	Deaths	598	2020-03-11	5837213
DK	Denmark	2020-06-18	Confirmed	12344	2020-03-11	5837213
DK	Denmark	2020-06-18	Deaths	600	2020-03-11	5837213
DK	Denmark	2020-06-19	Confirmed	12391	2020-03-11	5837213
DK	Denmark	2020-06-19	Deaths	600	2020-03-11	5837213
DK	Denmark	2020-06-20	Confirmed	12391	2020-03-11	5837213
